"","gene_id","chr","type","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000142233.11","19","CellTypeSpecific","epithelial",49,48,1.78802850999191,0.073771408244135,-1.12253553136004,0.261634808963356,0.117561317267979
"2","ENSG00000149054.15","11","CellTypeSpecific","epithelial",55,49,0.969596631500212,0.332247592629656,0.448650552238946,0.65368376038011,0.490816563996826
"3","ENSG00000183779.6","8","CellTypeSpecific","epithelial",38,38,5.446208065325,5.14549437884095e-08,7.35200469048934,1.95255953883521e-13,3.9046825706723e-13
"4","ENSG00000224397.5","20","CellTypeSpecific","epithelial",56,54,-1.3420221154995,0.179588825049468,-1.7294849287486,0.0837223415682966,0.114974163678952
"5","ENSG00000048707.13","1","NonSpecific","epithelial",42,37,1.13580940185948,0.256036341374301,1.13580940185948,0.256036341374301,0.256036341374301
"6","ENSG00000084676.15","2","NonSpecific","epithelial",37,35,-5.03770168847969,4.71154987014498e-07,-5.03770168847969,4.71154987014498e-07,4.71154987077183e-07
"7","ENSG00000092607.13","1","NonSpecific","epithelial",34,31,-1.42723051401783,0.153513461799504,-1.42723051401783,0.153513461799504,0.153513461799504
"8","ENSG00000103199.13","16","NonSpecific","epithelial",58,52,-0.438824004226904,0.66078906570573,-0.438824004226904,0.66078906570573,0.66078906570573
"9","ENSG00000110092.3","11","NonSpecific","epithelial",28,26,0.696556137727559,0.486080613725733,0.696556137727559,0.486080613725733,0.486080613725733
"10","ENSG00000165269.12","9","NonSpecific","epithelial",33,29,0.255100281349425,0.798645646867213,0.255100281349425,0.798645646867213,0.798645646867213
"11","ENSG00000166333.13","11","NonSpecific","epithelial",30,29,0.248231723825045,0.803955122261468,0.248231723825045,0.803955122261468,0.803955122261468
"12","ENSG00000198914.3","2","NonSpecific","epithelial",25,24,-1.68565583840743,0.0918621074594474,-1.68565583840743,0.0918621074594474,0.0918621074594474
"13","ENSG00000226445.1","6","NonSpecific","epithelial",28,26,4.91786219009299,8.74944709613903e-07,4.91786219009299,8.74944709613903e-07,8.74944709677464e-07
"14","ENSG00000232871.8","19","NonSpecific","epithelial",42,42,4.16756918349093,3.07865089612204e-05,4.16756918349093,3.07865089612204e-05,3.07865089612219e-05
"15","ENSG00000236036.1","13","NonSpecific","epithelial",7,6,-0.749341496093323,0.453651403028309,-0.749341496093323,0.453651403028309,0.453651403028309
"16","ENSG00000257800.1","2","NonSpecific","epithelial",22,21,-1.69342191895958,0.0903751856249744,-1.69342191895958,0.0903751856249744,0.0903751856249744
"17","ENSG00000277147.4","1","NonSpecific","epithelial",17,5,1.84310901066566,0.0653130960033829,1.84310901066566,0.0653130960033829,0.065313096003383
