"","gene_id","chr","type","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","CellTypeSpecific","fibroblast",33,28,1.65198779351311,0.0985370392336063,1.21252105533703,0.225312987762572,0.13871819261014
"2","ENSG00000092607.13","1","CellTypeSpecific","fibroblast",33,30,0.958721459757851,0.337699084653491,-2.05021151364504,0.0403437949303787,0.074344352261971
"3","ENSG00000110092.3","11","CellTypeSpecific","fibroblast",44,42,1.52771450932665,0.126583436090899,0.0658199312258361,0.94752118782041,0.839696697693543
"4","ENSG00000142233.11","19","CellTypeSpecific","fibroblast",55,55,1.36249434498952,0.173041927605024,0.931842355270722,0.351418001884861,0.237870663084947
"5","ENSG00000159164.9","1","CellTypeSpecific","fibroblast",20,10,-1.38985633204694,0.164572508152162,2.9549728684591,0.00312696548656844,0.00614714959544608
"6","ENSG00000176920.11","19","CellTypeSpecific","fibroblast",46,42,-0.0488382205959974,0.961048222871205,0.741742370381754,0.458243443140691,0.922012682462644
"7","ENSG00000183779.6","8","CellTypeSpecific","fibroblast",36,36,9.54222040845458,1.39806355431751e-21,6.20504988591774,5.46795549780136e-10,2.79612710862788e-21
"8","ENSG00000257800.1","2","CellTypeSpecific","fibroblast",31,27,-0.13157633248084,0.895319406687758,-0.0224863022658148,0.98206003844709,0.96927365313917
"9","ENSG00000277147.4","1","CellTypeSpecific","fibroblast",34,10,2.74203848182624,0.0061059187799544,2.86935979739077,0.00411303632487103,0.00491516880098978
"10","ENSG00000084676.15","2","NonSpecific","fibroblast",29,27,-4.94971939713496,7.43205554711884e-07,-4.94971939713496,7.43205554711884e-07,7.43205554708751e-07
"11","ENSG00000103199.13","16","NonSpecific","fibroblast",53,47,-0.358342495732638,0.720087019728611,-0.358342495732638,0.720087019728611,0.720087019728611
"12","ENSG00000149054.15","11","NonSpecific","fibroblast",53,47,1.2295335147716,0.218871840083388,1.2295335147716,0.218871840083388,0.218871840083388
"13","ENSG00000165269.12","9","NonSpecific","fibroblast",28,25,0.252359275973326,0.800763374691365,0.252359275973326,0.800763374691365,0.800763374691365
"14","ENSG00000166333.13","11","NonSpecific","fibroblast",36,34,0.250401605817024,0.802276787903205,0.250401605817024,0.802276787903205,0.802276787903205
"15","ENSG00000198914.3","2","NonSpecific","fibroblast",25,24,-1.68352425037607,0.0922736489003608,-1.68352425037607,0.0922736489003608,0.0922736489003608
"16","ENSG00000224397.5","20","NonSpecific","fibroblast",41,39,-1.80886002147651,0.0704727527021361,-1.80886002147651,0.0704727527021361,0.0704727527021362
"17","ENSG00000226445.1","6","NonSpecific","fibroblast",30,28,4.9009959777171,9.53520088568755e-07,4.9009959777171,9.53520088568755e-07,9.53520088606539e-07
"18","ENSG00000232871.8","19","NonSpecific","fibroblast",44,44,4.10541549555713,4.03588803592203e-05,4.10541549555713,4.03588803592203e-05,4.03588803592687e-05
"19","ENSG00000236036.1","13","NonSpecific","fibroblast",6,5,-0.734967142486351,0.462359505252297,-0.734967142486351,0.462359505252297,0.462359505252297
