gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,NDA,adipose,52,44,1,5,0.584134892085369,0.559129561324123,-0.950079888467651,0.342071661379915,0.444332101555319
ENSG00000084676.15,2,CellTypeSpecific,NDA,adipose,60,60,4,10,-1.13974480703811,0.25439263395472,-1.40531205150087,0.1599285062448,0.197822808708411
ENSG00000134917.9,11,CellTypeSpecific,NDA,adipose,13,13,1,0,-0.144347090691214,0.885226394650423,-0.049105867940637,0.96083492711069,0.941387485938762
ENSG00000142233.11,19,CellTypeSpecific,NDA,adipose,47,47,0,7,0.17887909624122,0.858032636823172,0.617344550096691,0.53700748785625,0.76573878838122
ENSG00000149054.15,11,CellTypeSpecific,NDA,adipose,59,57,4,3,0.415855306112848,0.677515885836336,-0.965982233867391,0.334053071090012,0.507858518472137
ENSG00000198914.3,2,CellTypeSpecific,NDA,adipose,30,30,1,2,0.217247155699166,0.828015737173406,1.4973979791465,0.134289733808261,0.412966516583727
ENSG00000236036.1,13,CellTypeSpecific,NDA,adipose,7,6,0,1,-10.0634870412204,8.01095402112985e-24,-9.02730091587191,1.75958049272049e-19,1.60211786358702e-23
ENSG00000257800.1,2,CellTypeSpecific,NDA,adipose,42,41,1,8,-0.415417048557266,0.677836628358228,0.100559017119359,0.919900531334372,0.867263127016403
ENSG00000092607.13,1,NonSpecific,NDA,adipose,33,33,3,4,0.371892973901403,0.70997253657375,0.371892973901403,0.70997253657375,0.70997253657375
ENSG00000103199.13,16,NonSpecific,NDA,adipose,55,52,4,7,-2.39431828339773,0.0166512921798713,-2.39431828339773,0.0166512921798713,0.0166512921798713
ENSG00000110092.3,11,NonSpecific,NDA,adipose,27,26,1,2,2.22013412181918,0.0264096645760192,2.22013412181918,0.0264096645760192,0.0264096645760192
ENSG00000159164.9,1,NonSpecific,NDA,adipose,26,13,1,2,-0.701636316481117,0.482905997412315,-0.701636316481117,0.482905997412315,0.482905997412315
ENSG00000165269.12,9,NonSpecific,NDA,adipose,28,25,1,6,-1.21274650592358,0.225226753350333,-1.21274650592358,0.225226753350333,0.225226753350333
ENSG00000166333.13,11,NonSpecific,NDA,adipose,18,17,0,1,0.775117997492929,0.438269937733672,0.775117997492929,0.438269937733672,0.438269937733672
ENSG00000224397.5,20,NonSpecific,NDA,adipose,37,36,2,2,-0.379665948250902,0.704193400091461,-0.379665948250902,0.704193400091461,0.704193400091461
ENSG00000226445.1,6,NonSpecific,NDA,adipose,28,27,1,3,2.90843579860132,0.00363241751946097,2.90843579860132,0.00363241751946097,0.00363241751946102
ENSG00000232871.8,19,NonSpecific,NDA,adipose,37,37,0,6,1.88571085645854,0.0593339291184261,1.88571085645854,0.0593339291184261,0.0593339291184261
ENSG00000277147.4,1,NonSpecific,NDA,adipose,22,8,1,2,0.352947145564257,0.724128065332503,0.352947145564257,0.724128065332503,0.724128065332503
