"","gene_id","chr","type","phenotype","PrediXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","NonSpecific","DA",4,4,-0.59833192485951,0.549618478835839,-0.59833192485951,0.549618478835839,0.549618478835839
"2","ENSG00000084676.15","2","NonSpecific","DA",8,8,0.391266477100993,0.695600275130855,0.391266477100993,0.695600275130855,0.695600275130855
"3","ENSG00000092607.13","1","NonSpecific","DA",6,4,0.99360254729723,0.320416403559301,0.99360254729723,0.320416403559301,0.320416403559301
"4","ENSG00000103199.13","16","NonSpecific","DA",9,8,0.914884776029663,0.360252123066894,0.914884776029663,0.360252123066894,0.360252123066894
"5","ENSG00000110092.3","11","NonSpecific","DA",11,11,1.43854020456616,0.150280838538936,1.43854020456616,0.150280838538936,0.150280838538936
"6","ENSG00000142233.11","19","NonSpecific","DA",12,12,-3.47478399758458,0.000511264854067726,-3.47478399758458,0.000511264854067726,0.000511264854067715
"7","ENSG00000149054.15","11","NonSpecific","DA",16,15,0.0392442252259332,0.968695674144509,0.0392442252259332,0.968695674144509,0.968695674144509
"8","ENSG00000159164.9","1","NonSpecific","DA",7,3,-5.20121914130611,1.97985489423499e-07,-5.20121914130611,1.97985489423499e-07,1.97985489494791e-07
"9","ENSG00000165269.12","9","NonSpecific","DA",6,5,-0.812407756656973,0.416557696880775,-0.812407756656973,0.416557696880775,0.416557696880775
"10","ENSG00000166333.13","11","NonSpecific","DA",1,1,-0.147,0.883132020320442,-0.147,0.883132020320442,0.883132020320442
"11","ENSG00000183779.6","8","NonSpecific","DA",4,4,-1.16823997670128,0.242709979278909,-1.16823997670128,0.242709979278909,0.242709979278909
"12","ENSG00000198914.3","2","NonSpecific","DA",11,11,2.95943172982925,0.00308206982981583,2.95943172982925,0.00308206982981583,0.00308206982981585
"13","ENSG00000224397.5","20","NonSpecific","DA",5,5,-4.50686472773523,6.57925475271856e-06,-4.50686472773523,6.57925475271856e-06,6.57925475275301e-06
"14","ENSG00000226445.1","6","NonSpecific","DA",5,5,-2.38842966233868,0.0169205469035076,-2.38842966233868,0.0169205469035076,0.0169205469035076
"15","ENSG00000232871.8","19","NonSpecific","DA",17,17,-5.38272339635328,7.33672355413038e-08,-5.38272339635328,7.33672355413038e-08,7.33672355709365e-08
"16","ENSG00000236036.1","13","NonSpecific","DA",3,3,-0.76192760937883,0.446103210661408,-0.76192760937883,0.446103210661408,0.446103210661408
"17","ENSG00000257800.1","2","NonSpecific","DA",4,4,-0.100551915057138,0.919906169383701,-0.100551915057138,0.919906169383701,0.919906169383701
"18","ENSG00000277147.4","1","NonSpecific","DA",3,1,-0.369,0.712127724773266,-0.369,0.712127724773266,0.712127724773266
