"","gene_id","chr","type","phenotype","PrediXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","NonSpecific","NDA",4,4,0.415603600408227,0.677700091656862,0.415603600408227,0.677700091656862,0.677700091656862
"2","ENSG00000084676.15","2","NonSpecific","NDA",8,8,1.25817981399438,0.208326733544896,1.25817981399438,0.208326733544896,0.208326733544896
"3","ENSG00000092607.13","1","NonSpecific","NDA",6,4,-0.506370361631176,0.612596676911568,-0.506370361631176,0.612596676911568,0.612596676911568
"4","ENSG00000103199.13","16","NonSpecific","NDA",9,8,2.16306330438646,0.0305363109973185,2.16306330438646,0.0305363109973185,0.0305363109973186
"5","ENSG00000110092.3","11","NonSpecific","NDA",11,11,-1.06725657159511,0.285855993036084,-1.06725657159511,0.285855993036084,0.285855993036084
"6","ENSG00000142233.11","19","NonSpecific","NDA",12,12,-0.805068997110649,0.420779865213993,-0.805068997110649,0.420779865213993,0.420779865213993
"7","ENSG00000149054.15","11","NonSpecific","NDA",16,15,0.508209007980962,0.611306774259515,0.508209007980962,0.611306774259515,0.611306774259515
"8","ENSG00000159164.9","1","NonSpecific","NDA",7,3,1.02626318060056,0.304767547535762,1.02626318060056,0.304767547535762,0.304767547535762
"9","ENSG00000165269.12","9","NonSpecific","NDA",6,5,1.19830456079195,0.230798471713183,1.19830456079195,0.230798471713183,0.230798471713183
"10","ENSG00000166333.13","11","NonSpecific","NDA",1,1,-0.662,0.507971221690227,-0.662,0.507971221690227,0.507971221690227
"11","ENSG00000183779.6","8","NonSpecific","NDA",4,4,6.58144281369726,4.65904706848374e-11,6.58144281369726,4.65904706848374e-11,4.65904807607669e-11
"12","ENSG00000198914.3","2","NonSpecific","NDA",11,11,-3.18081395696512,0.00146861909919438,-3.18081395696512,0.00146861909919438,0.00146861909919442
"13","ENSG00000224397.5","20","NonSpecific","NDA",5,5,0.294377949278045,0.768469114732816,0.294377949278045,0.768469114732816,0.768469114732816
"14","ENSG00000226445.1","6","NonSpecific","NDA",5,5,-3.1105253035934,0.00186754894252807,-3.1105253035934,0.00186754894252807,0.00186754894252804
"15","ENSG00000232871.8","19","NonSpecific","NDA",17,17,-1.63994553595912,0.101016491736658,-1.63994553595912,0.101016491736658,0.101016491736658
"16","ENSG00000236036.1","13","NonSpecific","NDA",3,3,3.96273111141106,7.40972201882193e-05,3.96273111141106,7.40972201882193e-05,7.40972201881872e-05
"17","ENSG00000257800.1","2","NonSpecific","NDA",4,4,0.912319380540321,0.36160061499387,0.912319380540321,0.36160061499387,0.36160061499387
"18","ENSG00000277147.4","1","NonSpecific","NDA",3,1,0.504,0.614261376983182,0.504,0.614261376983182,0.614261376983182
