"","gene_id","chr","type","phenotype","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","CellTypeSpecific","NDA","adipose",52,43,-0.603920415613983,0.545896554829933,0.85280711727182,0.393766276381937,0.468035516676302
"2","ENSG00000084676.15","2","CellTypeSpecific","NDA","adipose",60,56,1.05022585426046,0.293614285342584,1.13644447462051,0.255770591373837,0.273727614496301
"3","ENSG00000134917.9","11","CellTypeSpecific","NDA","adipose",13,12,0.20444732764219,0.838003949021931,0.0947351538494771,0.924525194802004,0.89646382694076
"4","ENSG00000142233.11","19","CellTypeSpecific","NDA","adipose",47,47,-0.53516376420484,0.59253662062591,-0.730313537971518,0.465198554939768,0.530057324287401
"5","ENSG00000149054.15","11","CellTypeSpecific","NDA","adipose",59,53,-0.683506468653474,0.49428686410869,0.881223672240057,0.378196769058854,0.43404433448897
"6","ENSG00000198914.3","2","CellTypeSpecific","NDA","adipose",30,29,-0.137639867461403,0.890525045700286,-1.57376146705244,0.115542605454065,0.525285289109216
"7","ENSG00000236036.1","13","CellTypeSpecific","NDA","adipose",7,6,6.60221884025643,4.05048982976934e-11,5.24885360535074,1.53048635759e-07,8.09883223704172e-11
"8","ENSG00000257800.1","2","CellTypeSpecific","NDA","adipose",42,40,0.489999970344452,0.62413391981978,-0.278111766435817,0.780926563608816,0.717380830388553
"9","ENSG00000092607.13","1","NonSpecific","NDA","adipose",33,30,0.0557589923696475,0.955533803439587,0.0557589923696475,0.955533803439587,0.955533803439587
"10","ENSG00000103199.13","16","NonSpecific","NDA","adipose",55,48,1.94666630125108,0.0515747542026895,1.94666630125108,0.0515747542026895,0.0515747542026895
"11","ENSG00000110092.3","11","NonSpecific","NDA","adipose",27,25,-1.46976203417382,0.141626214998457,-1.46976203417382,0.141626214998457,0.141626214998457
"12","ENSG00000159164.9","1","NonSpecific","NDA","adipose",26,13,0.851650380240097,0.394408168422708,0.851650380240097,0.394408168422708,0.394408168422708
"13","ENSG00000165269.12","9","NonSpecific","NDA","adipose",28,24,1.17161705477122,0.241350837689948,1.17161705477122,0.241350837689948,0.241350837689949
"14","ENSG00000166333.13","11","NonSpecific","NDA","adipose",18,17,-0.735674625611178,0.461928735377677,-0.735674625611178,0.461928735377677,0.461928735377677
"15","ENSG00000224397.5","20","NonSpecific","NDA","adipose",37,34,0.346134926823594,0.729241316076478,0.346134926823594,0.729241316076478,0.729241316076478
"16","ENSG00000226445.1","6","NonSpecific","NDA","adipose",28,26,-3.22455313405736,0.00126169440780833,-3.22455313405736,0.00126169440780833,0.00126169440780837
"17","ENSG00000232871.8","19","NonSpecific","NDA","adipose",37,37,-1.8844594127248,0.0595028598878227,-1.8844594127248,0.0595028598878227,0.0595028598878227
"18","ENSG00000277147.4","1","NonSpecific","NDA","adipose",22,7,-0.413143096097572,0.679501776292335,-0.413143096097572,0.679501776292335,0.679501776292335
